Comunidades y Ciudades Autónomas;Nacionalidad;Edad;Periodo;Total
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2024;0,07
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2023;0,06
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2022;0,06
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2021;0,05
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2020;0,05
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2019;0,07
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2018;0,06
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2017;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2016;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2015;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2014;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2013;0,13
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2012;0,13
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2011;0,14
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2010;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2009;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2008;0,17
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2007;0,14
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2006;0,16
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2005;0,15
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2004;0,14
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2003;0,16
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2002;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2001;0,11
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2000;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1999;0,08
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1998;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1997;0,07
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1996;0,08
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1995;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1994;0,08
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1993;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1992;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1991;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1990;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1989;0,11
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1988;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1987;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1986;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1985;0,13
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1984;0,17
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1983;0,21
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1982;0,23
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1981;0,24
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1980;0,23
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1979;0,24
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1978;0,21
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1977;0,2
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1976;0,17
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1975;0,16
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2024;4,2
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2023;4,31
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2022;4,61
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2021;4,61
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2020;5,36
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2019;5,99
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2018;6,26
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2017;7,07
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2016;7,36
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2015;7,74
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2014;8,09
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2013;8,38
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2012;8,99
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2011;9,51
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2010;10,61
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2009;11,83
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2008;13,26
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2007;12,82
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2006;12,01
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2005;11,35
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2004;10,75
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2003;10,55
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2002;9,86
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2001;9,66
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2000;8,78
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1999;8,34
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1998;7,64
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1997;7,57
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1996;7,22
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1995;7,51
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1994;8,05
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1993;8,97
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1992;9,88
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1991;10,83
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1990;11,78
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1989;13,14
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1988;15,15
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1987;15,82
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1986;16,64
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1985;18,34
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1984;19,03
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1983;19,89
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1982;21,1
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1981;22,53
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1980;25,44
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1979;26,51
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1978;26,36
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1977;25,83
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1976;24,99
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1975;21,81
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2024;19,94
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2023;20,19
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2022;20,45
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2021;20,4
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2020;22,76
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2019;24,08
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2018;24,24
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2017;25,26
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2016;25,71
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2015;26,17
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2014;26,72
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2013;27,07
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2012;29,33
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2011;30,81
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2010;33,85
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2009;34,9
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2008;37,91
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2007;34,68
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2006;32,56
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2005;30,59
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2004;30,39
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2003;28,79
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2002;27,7
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2001;26,37
Total Nacional;Ambas nacionalidades;De 20 a 24 años;2000;24,82
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1999;23,57
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1998;22,9
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1997;24,08
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1996;25,12
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1995;27,64
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1994;31,52
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1993;36,55
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1992;41,78
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1991;45,83
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1990;50,29
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1989;54,38
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1988;58,88
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1987;62,32
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1986;66,9
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1985;73,36
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1984;80,46
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1983;86,68
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1982;96,99
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1981;104,84
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1980;115,98
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1979;124,1
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1978;132,27
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1977;138,34
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1976;141,79
Total Nacional;Ambas nacionalidades;De 20 a 24 años;1975;132,83
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2024;42,69
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2023;43,48
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2022;44,72
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2021;45,67
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2020;47,69
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2019;49,75
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2018;51,69
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2017;54,68
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2016;57,01
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2015;57,41
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2014;57,8
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2013;55,82
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2012;57,89
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2011;59,51
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2010;61,68
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2009;62,95
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2008;66,99
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2007;63,95
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2006;64,37
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2005;63,03
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2004;63,72
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2003;64,32
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2002;63,57
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2001;64,7
Total Nacional;Ambas nacionalidades;De 25 a 29 años;2000;66,33
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1999;65,81
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1998;66,86
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1997;71,74
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1996;75,22
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1995;79,09
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1994;83,99
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1993;91,52
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1992;96,51
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1991;98,37
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1990;101,16
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1989;103,8
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1988;106,69
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1987;109,18
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1986;112,46
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1985;116,75
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1984;120,75
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1983;124,72
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1982;132,5
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1981;137,82
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1980;147,04
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1979;156,81
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1978;167,19
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1977;174,31
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1976;183,88
Total Nacional;Ambas nacionalidades;De 25 a 29 años;1975;185,82
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2024;74,22
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2023;75,49
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2022;78,32
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2021;81,97
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2020;79,87
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2019;83,61
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2018;86,41
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2017;90,42
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2016;92,96
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2015;93,15
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2014;92,04
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2013;88,2
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2012;91,65
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2011;93,53
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2010;94,48
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2009;94,84
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2008;99,66
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2007;97,07
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2006;99,29
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2005;99,29
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2004;99,06
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2003;98,27
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2002;95,51
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2001;94,82
Total Nacional;Ambas nacionalidades;De 30 a 34 años;2000;94,03
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1999;90,02
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1998;86,68
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1997;86,87
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1996;83,84
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1995;82
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1994;80,09
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1993;80,25
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1992;79,64
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1991;76,78
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1990;75,12
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1989;73,85
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1988;73,01
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1987;72,75
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1986;73,9
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1985;75,3
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1984;77,66
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1983;78,29
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1982;83,03
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1981;84,79
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1980;91,25
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1979;97,78
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1978;106,71
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1977;111,9
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1976;118,53
Total Nacional;Ambas nacionalidades;De 30 a 34 años;1975;122,8
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2024;60,53
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2023;60,85
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2022;63,42
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2021;63,97
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2020;61,75
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2019;63,73
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2018;64,23
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2017;65,73
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2016;66,33
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2015;65,25
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2014;63,59
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2013;60,94
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2012;62,69
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2011;62,96
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2010;61,73
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2009;60,37
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2008;60,57
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2007;57,07
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2006;55,4
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2005;52,98
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2004;51,16
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2003;49,44
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2002;46,45
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2001;44,86
Total Nacional;Ambas nacionalidades;De 35 a 39 años;2000;42,44
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1999;39,45
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1998;35,92
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1997;34,24
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1996;31,77
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1995;30,52
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1994;29,57
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1993;29,01
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1992;28,61
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1991;27,6
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1990;27,77
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1989;27,76
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1988;28,49
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1987;30,11
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1986;31,42
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1985;33,51
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1984;35,71
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1983;37,2
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1982;39,93
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1981;42,18
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1980;45,78
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1979;50,11
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1978;54,97
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1977;57,5
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1976;61,29
Total Nacional;Ambas nacionalidades;De 35 a 39 años;1975;64,21
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2024;16,5
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2023;16,85
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2022;17,27
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2021;17,1
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2020;16,3
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2019;16,64
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2018;16,93
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2017;16,79
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2016;16,46
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2015;15,91
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2014;15,19
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2013;14,43
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2012;14,05
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2011;13,08
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2010;12,3
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2009;11,61
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2008;11,33
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2007;10,33
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2006;9,88
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2005;9,29
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2004;8,73
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2003;8,23
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2002;7,56
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2001;7,18
Total Nacional;Ambas nacionalidades;De 40 a 44 años;2000;6,65
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1999;6,3
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1998;5,65
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1997;5,48
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1996;5,14
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1995;5,07
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1994;5,16
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1993;5,25
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1992;5,53
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1991;5,76
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1990;5,84
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1989;6,56
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1988;7,09
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1987;7,77
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1986;8,94
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1985;9,83
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1984;10,84
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1983;11,59
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1982;12,79
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1981;13,28
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1980;14,59
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1979;15,26
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1978;17,55
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1977;19,2
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1976;20,98
Total Nacional;Ambas nacionalidades;De 40 a 44 años;1975;22,94
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2024;1,57
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2023;1,6
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2022;1,74
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2021;1,57
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2020;1,43
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2019;1,49
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2018;1,49
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2017;1,42
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2016;1,27
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2015;1,1
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2014;1,05
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2013;0,91
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2012;0,9
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2011;0,82
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2010;0,87
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2009;0,86
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2008;0,73
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2007;0,72
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2006;0,66
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2005;0,48
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2004;0,43
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2003;0,42
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2002;0,39
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2001;0,36
Total Nacional;Ambas nacionalidades;De 45 a 49 años;2000;0,32
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1999;0,29
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1998;0,24
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1997;0,24
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1996;0,23
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1995;0,25
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1994;0,26
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1993;0,29
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1992;0,32
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1991;0,37
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1990;0,42
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1989;0,44
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1988;0,53
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1987;0,59
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1986;0,69
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1985;0,83
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1984;0,86
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1983;0,91
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1982;1,04
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1981;1,04
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1980;1,3
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1979;1,37
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1978;1,54
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1977;1,74
Total Nacional;Ambas nacionalidades;De 45 a 49 años;1976;1,82
