Comunidades y Ciudades Autónomas;Situación sentimental;Tiene hijos;Intención de tener hijos;Total
02 Aragón;Total;Con hijos;No tiene intención de tener hijos;171.098
02 Aragón;Sin pareja;Total;Total;81.043
02 Aragón;Sin pareja;Total;Tiene intención de tener hijos;7.105
02 Aragón;Sin pareja;Total;No tiene intención de tener hijos;73.938
02 Aragón;Sin pareja;Sin hijos;Total;57.059
02 Aragón;Sin pareja;Sin hijos;Tiene intención de tener hijos;6.106
02 Aragón;Sin pareja;Sin hijos;No tiene intención de tener hijos;50.954
02 Aragón;Sin pareja;Con hijos;Total;23.984
02 Aragón;Sin pareja;Con hijos;Tiene intención de tener hijos;.
02 Aragón;Sin pareja;Con hijos;No tiene intención de tener hijos;22.984
02 Aragón;Pareja con la que convive;Total;Total;201.745
02 Aragón;Pareja con la que convive;Total;Tiene intención de tener hijos;36.983
02 Aragón;Pareja con la que convive;Total;No tiene intención de tener hijos;164.762
02 Aragón;Pareja con la que convive;Sin hijos;Total;39.821
02 Aragón;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;18.067
02 Aragón;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;21.754
02 Aragón;Pareja con la que convive;Con hijos;Total;161.924
02 Aragón;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;18.916
02 Aragón;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;143.008
02 Aragón;Pareja con la que no convive;Total;Total;34.759
02 Aragón;Pareja con la que no convive;Total;Tiene intención de tener hijos;8.550
02 Aragón;Pareja con la que no convive;Total;No tiene intención de tener hijos;26.209
02 Aragón;Pareja con la que no convive;Sin hijos;Total;27.894
02 Aragón;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;6.791
02 Aragón;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;21.103
02 Aragón;Pareja con la que no convive;Con hijos;Total;6.865
02 Aragón;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
02 Aragón;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;5.106
03 Asturias, Principado de;Total;Total;Total;242.600
03 Asturias, Principado de;Total;Total;Tiene intención de tener hijos;42.535
03 Asturias, Principado de;Total;Total;No tiene intención de tener hijos;200.065
03 Asturias, Principado de;Total;Sin hijos;Total;106.142
03 Asturias, Principado de;Total;Sin hijos;Tiene intención de tener hijos;27.971
03 Asturias, Principado de;Total;Sin hijos;No tiene intención de tener hijos;78.170
03 Asturias, Principado de;Total;Con hijos;Total;136.458
03 Asturias, Principado de;Total;Con hijos;Tiene intención de tener hijos;14.563
03 Asturias, Principado de;Total;Con hijos;No tiene intención de tener hijos;121.895
03 Asturias, Principado de;Sin pareja;Total;Total;59.900
03 Asturias, Principado de;Sin pareja;Total;Tiene intención de tener hijos;7.983
03 Asturias, Principado de;Sin pareja;Total;No tiene intención de tener hijos;51.917
03 Asturias, Principado de;Sin pareja;Sin hijos;Total;43.959
03 Asturias, Principado de;Sin pareja;Sin hijos;Tiene intención de tener hijos;7.510
03 Asturias, Principado de;Sin pareja;Sin hijos;No tiene intención de tener hijos;36.449
03 Asturias, Principado de;Sin pareja;Con hijos;Total;15.941
03 Asturias, Principado de;Sin pareja;Con hijos;Tiene intención de tener hijos;.
03 Asturias, Principado de;Sin pareja;Con hijos;No tiene intención de tener hijos;15.468
03 Asturias, Principado de;Pareja con la que convive;Total;Total;150.313
03 Asturias, Principado de;Pareja con la que convive;Total;Tiene intención de tener hijos;27.535
03 Asturias, Principado de;Pareja con la que convive;Total;No tiene intención de tener hijos;122.778
03 Asturias, Principado de;Pareja con la que convive;Sin hijos;Total;36.546
03 Asturias, Principado de;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;13.939
03 Asturias, Principado de;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;22.607
03 Asturias, Principado de;Pareja con la que convive;Con hijos;Total;113.767
03 Asturias, Principado de;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;13.596
03 Asturias, Principado de;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;100.171
03 Asturias, Principado de;Pareja con la que no convive;Total;Total;32.387
03 Asturias, Principado de;Pareja con la que no convive;Total;Tiene intención de tener hijos;7.016
03 Asturias, Principado de;Pareja con la que no convive;Total;No tiene intención de tener hijos;25.371
03 Asturias, Principado de;Pareja con la que no convive;Sin hijos;Total;25.637
03 Asturias, Principado de;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;6.522
03 Asturias, Principado de;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;19.115
03 Asturias, Principado de;Pareja con la que no convive;Con hijos;Total;6.750
03 Asturias, Principado de;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
03 Asturias, Principado de;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;6.256
04 Balears, Illes;Total;Total;Total;320.631
04 Balears, Illes;Total;Total;Tiene intención de tener hijos;66.421
04 Balears, Illes;Total;Total;No tiene intención de tener hijos;254.210
04 Balears, Illes;Total;Sin hijos;Total;123.830
04 Balears, Illes;Total;Sin hijos;Tiene intención de tener hijos;38.995
04 Balears, Illes;Total;Sin hijos;No tiene intención de tener hijos;84.835
04 Balears, Illes;Total;Con hijos;Total;196.801
04 Balears, Illes;Total;Con hijos;Tiene intención de tener hijos;27.426
04 Balears, Illes;Total;Con hijos;No tiene intención de tener hijos;169.375
04 Balears, Illes;Sin pareja;Total;Total;85.465
04 Balears, Illes;Sin pareja;Total;Tiene intención de tener hijos;15.430
04 Balears, Illes;Sin pareja;Total;No tiene intención de tener hijos;70.035
04 Balears, Illes;Sin pareja;Sin hijos;Total;54.176
04 Balears, Illes;Sin pareja;Sin hijos;Tiene intención de tener hijos;12.847
04 Balears, Illes;Sin pareja;Sin hijos;No tiene intención de tener hijos;41.329
04 Balears, Illes;Sin pareja;Con hijos;Total;31.289
04 Balears, Illes;Sin pareja;Con hijos;Tiene intención de tener hijos;2.583
04 Balears, Illes;Sin pareja;Con hijos;No tiene intención de tener hijos;28.706
04 Balears, Illes;Pareja con la que convive;Total;Total;191.789
04 Balears, Illes;Pareja con la que convive;Total;Tiene intención de tener hijos;42.170
04 Balears, Illes;Pareja con la que convive;Total;No tiene intención de tener hijos;149.619
04 Balears, Illes;Pareja con la que convive;Sin hijos;Total;36.169
04 Balears, Illes;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;19.732
04 Balears, Illes;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;16.437
04 Balears, Illes;Pareja con la que convive;Con hijos;Total;155.620
04 Balears, Illes;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;22.437
04 Balears, Illes;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;133.182
04 Balears, Illes;Pareja con la que no convive;Total;Total;43.376
04 Balears, Illes;Pareja con la que no convive;Total;Tiene intención de tener hijos;8.821
04 Balears, Illes;Pareja con la que no convive;Total;No tiene intención de tener hijos;34.556
04 Balears, Illes;Pareja con la que no convive;Sin hijos;Total;33.485
04 Balears, Illes;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;6.415
04 Balears, Illes;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;27.069
04 Balears, Illes;Pareja con la que no convive;Con hijos;Total;9.892
04 Balears, Illes;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;2.406
04 Balears, Illes;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;7.486
05 Canarias;Total;Total;Total;610.331
05 Canarias;Total;Total;Tiene intención de tener hijos;110.269
05 Canarias;Total;Total;No tiene intención de tener hijos;500.062
05 Canarias;Total;Sin hijos;Total;231.763
05 Canarias;Total;Sin hijos;Tiene intención de tener hijos;70.705
05 Canarias;Total;Sin hijos;No tiene intención de tener hijos;161.058
05 Canarias;Total;Con hijos;Total;378.568
05 Canarias;Total;Con hijos;Tiene intención de tener hijos;39.564
05 Canarias;Total;Con hijos;No tiene intención de tener hijos;339.004
05 Canarias;Sin pareja;Total;Total;175.573
05 Canarias;Sin pareja;Total;Tiene intención de tener hijos;23.882
05 Canarias;Sin pareja;Total;No tiene intención de tener hijos;151.691
05 Canarias;Sin pareja;Sin hijos;Total;111.771
05 Canarias;Sin pareja;Sin hijos;Tiene intención de tener hijos;20.151
05 Canarias;Sin pareja;Sin hijos;No tiene intención de tener hijos;91.620
05 Canarias;Sin pareja;Con hijos;Total;63.802
05 Canarias;Sin pareja;Con hijos;Tiene intención de tener hijos;3.731
05 Canarias;Sin pareja;Con hijos;No tiene intención de tener hijos;60.071
05 Canarias;Pareja con la que convive;Total;Total;356.763
05 Canarias;Pareja con la que convive;Total;Tiene intención de tener hijos;63.417
05 Canarias;Pareja con la que convive;Total;No tiene intención de tener hijos;293.346
05 Canarias;Pareja con la que convive;Sin hijos;Total;62.832
05 Canarias;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;31.556
05 Canarias;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;31.275
05 Canarias;Pareja con la que convive;Con hijos;Total;293.931
05 Canarias;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;31.861
05 Canarias;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;262.070
05 Canarias;Pareja con la que no convive;Total;Total;77.995
05 Canarias;Pareja con la que no convive;Total;Tiene intención de tener hijos;22.970
05 Canarias;Pareja con la que no convive;Total;No tiene intención de tener hijos;55.026
05 Canarias;Pareja con la que no convive;Sin hijos;Total;57.160
05 Canarias;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;18.997
05 Canarias;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;38.163
05 Canarias;Pareja con la que no convive;Con hijos;Total;20.835
05 Canarias;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;3.972
05 Canarias;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;16.863
06 Cantabria;Total;Total;Total;141.875
06 Cantabria;Total;Total;Tiene intención de tener hijos;25.382
06 Cantabria;Total;Total;No tiene intención de tener hijos;116.493
06 Cantabria;Total;Sin hijos;Total;63.009
06 Cantabria;Total;Sin hijos;Tiene intención de tener hijos;14.991
06 Cantabria;Total;Sin hijos;No tiene intención de tener hijos;48.018
06 Cantabria;Total;Con hijos;Total;78.866
06 Cantabria;Total;Con hijos;Tiene intención de tener hijos;10.391
06 Cantabria;Total;Con hijos;No tiene intención de tener hijos;68.475
06 Cantabria;Sin pareja;Total;Total;39.126
06 Cantabria;Sin pareja;Total;Tiene intención de tener hijos;4.680
06 Cantabria;Sin pareja;Total;No tiene intención de tener hijos;34.447
06 Cantabria;Sin pareja;Sin hijos;Total;29.562
06 Cantabria;Sin pareja;Sin hijos;Tiene intención de tener hijos;4.680
06 Cantabria;Sin pareja;Sin hijos;No tiene intención de tener hijos;24.883
06 Cantabria;Sin pareja;Con hijos;Total;9.564
06 Cantabria;Sin pareja;Con hijos;Tiene intención de tener hijos;.
06 Cantabria;Sin pareja;Con hijos;No tiene intención de tener hijos;9.564
06 Cantabria;Pareja con la que convive;Total;Total;82.710
06 Cantabria;Pareja con la que convive;Total;Tiene intención de tener hijos;14.850
06 Cantabria;Pareja con la que convive;Total;No tiene intención de tener hijos;67.861
06 Cantabria;Pareja con la que convive;Sin hijos;Total;16.674
06 Cantabria;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;5.537
06 Cantabria;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;11.137
06 Cantabria;Pareja con la que convive;Con hijos;Total;66.036
06 Cantabria;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;9.312
06 Cantabria;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;56.724
06 Cantabria;Pareja con la que no convive;Total;Total;20.039
06 Cantabria;Pareja con la que no convive;Total;Tiene intención de tener hijos;5.853
06 Cantabria;Pareja con la que no convive;Total;No tiene intención de tener hijos;14.185
06 Cantabria;Pareja con la que no convive;Sin hijos;Total;16.772
06 Cantabria;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;4.774
06 Cantabria;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;11.998
06 Cantabria;Pareja con la que no convive;Con hijos;Total;3.266
06 Cantabria;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;1.079
06 Cantabria;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;2.187
07 Castilla y León;Total;Total;Total;557.370
07 Castilla y León;Total;Total;Tiene intención de tener hijos;103.512
07 Castilla y León;Total;Total;No tiene intención de tener hijos;453.858
07 Castilla y León;Total;Sin hijos;Total;264.500
07 Castilla y León;Total;Sin hijos;Tiene intención de tener hijos;67.548
07 Castilla y León;Total;Sin hijos;No tiene intención de tener hijos;196.952
07 Castilla y León;Total;Con hijos;Total;292.870
07 Castilla y León;Total;Con hijos;Tiene intención de tener hijos;35.964
07 Castilla y León;Total;Con hijos;No tiene intención de tener hijos;256.905
07 Castilla y León;Sin pareja;Total;Total;164.181
07 Castilla y León;Sin pareja;Total;Tiene intención de tener hijos;18.380
07 Castilla y León;Sin pareja;Total;No tiene intención de tener hijos;145.801
07 Castilla y León;Sin pareja;Sin hijos;Total;137.130
07 Castilla y León;Sin pareja;Sin hijos;Tiene intención de tener hijos;18.380
07 Castilla y León;Sin pareja;Sin hijos;No tiene intención de tener hijos;118.750
07 Castilla y León;Sin pareja;Con hijos;Total;27.051
07 Castilla y León;Sin pareja;Con hijos;Tiene intención de tener hijos;.
07 Castilla y León;Sin pareja;Con hijos;No tiene intención de tener hijos;27.051
07 Castilla y León;Pareja con la que convive;Total;Total;315.842
