Comunidades y Ciudades Autónomas;Situación sentimental;Tiene hijos;Intención de tener hijos;Total
10 Comunitat Valenciana;Pareja con la que convive;Con hijos;Total;652.135
10 Comunitat Valenciana;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;84.269
10 Comunitat Valenciana;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;567.866
10 Comunitat Valenciana;Pareja con la que no convive;Total;Total;189.118
10 Comunitat Valenciana;Pareja con la que no convive;Total;Tiene intención de tener hijos;48.685
10 Comunitat Valenciana;Pareja con la que no convive;Total;No tiene intención de tener hijos;140.433
10 Comunitat Valenciana;Pareja con la que no convive;Sin hijos;Total;149.388
10 Comunitat Valenciana;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;44.720
10 Comunitat Valenciana;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;104.668
10 Comunitat Valenciana;Pareja con la que no convive;Con hijos;Total;39.729
10 Comunitat Valenciana;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;3.964
10 Comunitat Valenciana;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;35.765
11 Extremadura;Total;Total;Total;265.164
11 Extremadura;Total;Total;Tiene intención de tener hijos;45.833
11 Extremadura;Total;Total;No tiene intención de tener hijos;219.331
11 Extremadura;Total;Sin hijos;Total;103.148
11 Extremadura;Total;Sin hijos;Tiene intención de tener hijos;23.757
11 Extremadura;Total;Sin hijos;No tiene intención de tener hijos;79.391
11 Extremadura;Total;Con hijos;Total;162.016
11 Extremadura;Total;Con hijos;Tiene intención de tener hijos;22.076
11 Extremadura;Total;Con hijos;No tiene intención de tener hijos;139.940
11 Extremadura;Sin pareja;Total;Total;56.249
11 Extremadura;Sin pareja;Total;Tiene intención de tener hijos;6.991
11 Extremadura;Sin pareja;Total;No tiene intención de tener hijos;49.257
11 Extremadura;Sin pareja;Sin hijos;Total;42.569
11 Extremadura;Sin pareja;Sin hijos;Tiene intención de tener hijos;6.038
11 Extremadura;Sin pareja;Sin hijos;No tiene intención de tener hijos;36.531
11 Extremadura;Sin pareja;Con hijos;Total;13.680
11 Extremadura;Sin pareja;Con hijos;Tiene intención de tener hijos;.
11 Extremadura;Sin pareja;Con hijos;No tiene intención de tener hijos;12.726
11 Extremadura;Pareja con la que convive;Total;Total;171.416
11 Extremadura;Pareja con la que convive;Total;Tiene intención de tener hijos;27.412
11 Extremadura;Pareja con la que convive;Total;No tiene intención de tener hijos;144.004
11 Extremadura;Pareja con la que convive;Sin hijos;Total;26.624
11 Extremadura;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;7.786
11 Extremadura;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;18.837
11 Extremadura;Pareja con la que convive;Con hijos;Total;144.792
11 Extremadura;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;19.626
11 Extremadura;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;125.167
11 Extremadura;Pareja con la que no convive;Total;Total;37.499
11 Extremadura;Pareja con la que no convive;Total;Tiene intención de tener hijos;11.429
11 Extremadura;Pareja con la que no convive;Total;No tiene intención de tener hijos;26.070
11 Extremadura;Pareja con la que no convive;Sin hijos;Total;33.955
11 Extremadura;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;9.933
11 Extremadura;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;24.022
11 Extremadura;Pareja con la que no convive;Con hijos;Total;3.544
11 Extremadura;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;1.497
11 Extremadura;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;2.047
12 Galicia;Total;Total;Total;651.612
12 Galicia;Total;Total;Tiene intención de tener hijos;108.856
12 Galicia;Total;Total;No tiene intención de tener hijos;542.756
12 Galicia;Total;Sin hijos;Total;274.918
12 Galicia;Total;Sin hijos;Tiene intención de tener hijos;68.058
12 Galicia;Total;Sin hijos;No tiene intención de tener hijos;206.860
12 Galicia;Total;Con hijos;Total;376.694
12 Galicia;Total;Con hijos;Tiene intención de tener hijos;40.798
12 Galicia;Total;Con hijos;No tiene intención de tener hijos;335.895
12 Galicia;Sin pareja;Total;Total;180.959
12 Galicia;Sin pareja;Total;Tiene intención de tener hijos;26.205
12 Galicia;Sin pareja;Total;No tiene intención de tener hijos;154.754
12 Galicia;Sin pareja;Sin hijos;Total;133.464
12 Galicia;Sin pareja;Sin hijos;Tiene intención de tener hijos;22.222
12 Galicia;Sin pareja;Sin hijos;No tiene intención de tener hijos;111.242
12 Galicia;Sin pareja;Con hijos;Total;47.495
12 Galicia;Sin pareja;Con hijos;Tiene intención de tener hijos;3.983
12 Galicia;Sin pareja;Con hijos;No tiene intención de tener hijos;43.512
12 Galicia;Pareja con la que convive;Total;Total;387.678
12 Galicia;Pareja con la que convive;Total;Tiene intención de tener hijos;58.682
12 Galicia;Pareja con la que convive;Total;No tiene intención de tener hijos;328.996
12 Galicia;Pareja con la que convive;Sin hijos;Total;74.236
12 Galicia;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;23.833
12 Galicia;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;50.404
12 Galicia;Pareja con la que convive;Con hijos;Total;313.442
12 Galicia;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;34.849
12 Galicia;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;278.593
12 Galicia;Pareja con la que no convive;Total;Total;82.975
12 Galicia;Pareja con la que no convive;Total;Tiene intención de tener hijos;23.969
12 Galicia;Pareja con la que no convive;Total;No tiene intención de tener hijos;59.005
12 Galicia;Pareja con la que no convive;Sin hijos;Total;67.218
12 Galicia;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;22.004
12 Galicia;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;45.215
12 Galicia;Pareja con la que no convive;Con hijos;Total;15.756
12 Galicia;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;1.966
12 Galicia;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;13.791
13 Madrid, Comunidad de;Total;Total;Total;1.766.201
13 Madrid, Comunidad de;Total;Total;Tiene intención de tener hijos;359.067
13 Madrid, Comunidad de;Total;Total;No tiene intención de tener hijos;1.407.134
13 Madrid, Comunidad de;Total;Sin hijos;Total;756.662
13 Madrid, Comunidad de;Total;Sin hijos;Tiene intención de tener hijos;229.775
13 Madrid, Comunidad de;Total;Sin hijos;No tiene intención de tener hijos;526.887
13 Madrid, Comunidad de;Total;Con hijos;Total;1.009.539
13 Madrid, Comunidad de;Total;Con hijos;Tiene intención de tener hijos;129.291
13 Madrid, Comunidad de;Total;Con hijos;No tiene intención de tener hijos;880.248
13 Madrid, Comunidad de;Sin pareja;Total;Total;523.275
13 Madrid, Comunidad de;Sin pareja;Total;Tiene intención de tener hijos;94.577
13 Madrid, Comunidad de;Sin pareja;Total;No tiene intención de tener hijos;428.698
13 Madrid, Comunidad de;Sin pareja;Sin hijos;Total;353.978
13 Madrid, Comunidad de;Sin pareja;Sin hijos;Tiene intención de tener hijos;72.781
13 Madrid, Comunidad de;Sin pareja;Sin hijos;No tiene intención de tener hijos;281.197
13 Madrid, Comunidad de;Sin pareja;Con hijos;Total;169.297
13 Madrid, Comunidad de;Sin pareja;Con hijos;Tiene intención de tener hijos;21.796
13 Madrid, Comunidad de;Sin pareja;Con hijos;No tiene intención de tener hijos;147.501
13 Madrid, Comunidad de;Pareja con la que convive;Total;Total;985.366
13 Madrid, Comunidad de;Pareja con la que convive;Total;Tiene intención de tener hijos;207.481
13 Madrid, Comunidad de;Pareja con la que convive;Total;No tiene intención de tener hijos;777.886
13 Madrid, Comunidad de;Pareja con la que convive;Sin hijos;Total;198.325
13 Madrid, Comunidad de;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;106.909
13 Madrid, Comunidad de;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;91.415
13 Madrid, Comunidad de;Pareja con la que convive;Con hijos;Total;787.042
13 Madrid, Comunidad de;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;100.572
13 Madrid, Comunidad de;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;686.470
13 Madrid, Comunidad de;Pareja con la que no convive;Total;Total;257.560
13 Madrid, Comunidad de;Pareja con la que no convive;Total;Tiene intención de tener hijos;57.009
13 Madrid, Comunidad de;Pareja con la que no convive;Total;No tiene intención de tener hijos;200.551
13 Madrid, Comunidad de;Pareja con la que no convive;Sin hijos;Total;204.359
13 Madrid, Comunidad de;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;50.085
13 Madrid, Comunidad de;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;154.274
13 Madrid, Comunidad de;Pareja con la que no convive;Con hijos;Total;53.200
13 Madrid, Comunidad de;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;6.924
13 Madrid, Comunidad de;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;46.276
14 Murcia, Región de;Total;Total;Total;384.453
14 Murcia, Región de;Total;Total;Tiene intención de tener hijos;76.383
14 Murcia, Región de;Total;Total;No tiene intención de tener hijos;308.070
14 Murcia, Región de;Total;Sin hijos;Total;131.165
14 Murcia, Región de;Total;Sin hijos;Tiene intención de tener hijos;40.656
14 Murcia, Región de;Total;Sin hijos;No tiene intención de tener hijos;90.509
14 Murcia, Región de;Total;Con hijos;Total;253.288
14 Murcia, Región de;Total;Con hijos;Tiene intención de tener hijos;35.728
14 Murcia, Región de;Total;Con hijos;No tiene intención de tener hijos;217.561
14 Murcia, Región de;Sin pareja;Total;Total;101.379
14 Murcia, Región de;Sin pareja;Total;Tiene intención de tener hijos;18.077
14 Murcia, Región de;Sin pareja;Total;No tiene intención de tener hijos;83.302
14 Murcia, Región de;Sin pareja;Sin hijos;Total;67.774
14 Murcia, Región de;Sin pareja;Sin hijos;Tiene intención de tener hijos;15.662
14 Murcia, Región de;Sin pareja;Sin hijos;No tiene intención de tener hijos;52.112
14 Murcia, Región de;Sin pareja;Con hijos;Total;33.604
14 Murcia, Región de;Sin pareja;Con hijos;Tiene intención de tener hijos;2.414
14 Murcia, Región de;Sin pareja;Con hijos;No tiene intención de tener hijos;31.190
14 Murcia, Región de;Pareja con la que convive;Total;Total;241.293
14 Murcia, Región de;Pareja con la que convive;Total;Tiene intención de tener hijos;48.490
14 Murcia, Región de;Pareja con la que convive;Total;No tiene intención de tener hijos;192.802
14 Murcia, Región de;Pareja con la que convive;Sin hijos;Total;27.937
14 Murcia, Región de;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;16.249
14 Murcia, Región de;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;11.688
14 Murcia, Región de;Pareja con la que convive;Con hijos;Total;213.356
14 Murcia, Región de;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;32.242
14 Murcia, Región de;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;181.114
14 Murcia, Región de;Pareja con la que no convive;Total;Total;41.782
14 Murcia, Región de;Pareja con la que no convive;Total;Tiene intención de tener hijos;9.816
14 Murcia, Región de;Pareja con la que no convive;Total;No tiene intención de tener hijos;31.966
14 Murcia, Región de;Pareja con la que no convive;Sin hijos;Total;35.454
14 Murcia, Región de;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;8.745
14 Murcia, Región de;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;26.709
14 Murcia, Región de;Pareja con la que no convive;Con hijos;Total;6.328
14 Murcia, Región de;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
14 Murcia, Región de;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;5.257
15 Navarra, Comunidad Foral de;Total;Total;Total;159.565
15 Navarra, Comunidad Foral de;Total;Total;Tiene intención de tener hijos;33.939
15 Navarra, Comunidad Foral de;Total;Total;No tiene intención de tener hijos;125.626
15 Navarra, Comunidad Foral de;Total;Sin hijos;Total;65.960
15 Navarra, Comunidad Foral de;Total;Sin hijos;Tiene intención de tener hijos;20.928
15 Navarra, Comunidad Foral de;Total;Sin hijos;No tiene intención de tener hijos;45.031
15 Navarra, Comunidad Foral de;Total;Con hijos;Total;93.605
15 Navarra, Comunidad Foral de;Total;Con hijos;Tiene intención de tener hijos;13.011
15 Navarra, Comunidad Foral de;Total;Con hijos;No tiene intención de tener hijos;80.594
15 Navarra, Comunidad Foral de;Sin pareja;Total;Total;44.305
15 Navarra, Comunidad Foral de;Sin pareja;Total;Tiene intención de tener hijos;6.852
15 Navarra, Comunidad Foral de;Sin pareja;Total;No tiene intención de tener hijos;37.453
15 Navarra, Comunidad Foral de;Sin pareja;Sin hijos;Total;33.913
15 Navarra, Comunidad Foral de;Sin pareja;Sin hijos;Tiene intención de tener hijos;6.257
15 Navarra, Comunidad Foral de;Sin pareja;Sin hijos;No tiene intención de tener hijos;27.656
15 Navarra, Comunidad Foral de;Sin pareja;Con hijos;Total;10.392
15 Navarra, Comunidad Foral de;Sin pareja;Con hijos;Tiene intención de tener hijos;595
15 Navarra, Comunidad Foral de;Sin pareja;Con hijos;No tiene intención de tener hijos;9.797
15 Navarra, Comunidad Foral de;Pareja con la que convive;Total;Total;95.446
15 Navarra, Comunidad Foral de;Pareja con la que convive;Total;Tiene intención de tener hijos;21.109
15 Navarra, Comunidad Foral de;Pareja con la que convive;Total;No tiene intención de tener hijos;74.337
15 Navarra, Comunidad Foral de;Pareja con la que convive;Sin hijos;Total;15.842
15 Navarra, Comunidad Foral de;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;8.982
15 Navarra, Comunidad Foral de;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;6.860
15 Navarra, Comunidad Foral de;Pareja con la que convive;Con hijos;Total;79.605
15 Navarra, Comunidad Foral de;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;12.127
15 Navarra, Comunidad Foral de;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;67.478
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Total;Total;19.814
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Total;Tiene intención de tener hijos;5.978
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Total;No tiene intención de tener hijos;13.836
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Sin hijos;Total;16.206
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;5.689
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;10.516
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Con hijos;Total;3.608
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
15 Navarra, Comunidad Foral de;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;3.320
16 País Vasco;Total;Total;Total;520.632
16 País Vasco;Total;Total;Tiene intención de tener hijos;94.067
16 País Vasco;Total;Total;No tiene intención de tener hijos;426.565
16 País Vasco;Total;Sin hijos;Total;226.709
16 País Vasco;Total;Sin hijos;Tiene intención de tener hijos;59.069
16 País Vasco;Total;Sin hijos;No tiene intención de tener hijos;167.640
16 País Vasco;Total;Con hijos;Total;293.923
16 País Vasco;Total;Con hijos;Tiene intención de tener hijos;34.998
16 País Vasco;Total;Con hijos;No tiene intención de tener hijos;258.925
16 País Vasco;Sin pareja;Total;Total;143.702
16 País Vasco;Sin pareja;Total;Tiene intención de tener hijos;19.549
16 País Vasco;Sin pareja;Total;No tiene intención de tener hijos;124.153
16 País Vasco;Sin pareja;Sin hijos;Total;100.373
16 País Vasco;Sin pareja;Sin hijos;Tiene intención de tener hijos;16.950
16 País Vasco;Sin pareja;Sin hijos;No tiene intención de tener hijos;83.422
16 País Vasco;Sin pareja;Con hijos;Total;43.330
16 País Vasco;Sin pareja;Con hijos;Tiene intención de tener hijos;2.599
16 País Vasco;Sin pareja;Con hijos;No tiene intención de tener hijos;40.731
16 País Vasco;Pareja con la que convive;Total;Total;294.172
16 País Vasco;Pareja con la que convive;Total;Tiene intención de tener hijos;51.608
16 País Vasco;Pareja con la que convive;Total;No tiene intención de tener hijos;242.564
16 País Vasco;Pareja con la que convive;Sin hijos;Total;62.010
16 País Vasco;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;23.894
16 País Vasco;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;38.117
16 País Vasco;Pareja con la que convive;Con hijos;Total;232.162
16 País Vasco;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;27.714
16 País Vasco;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;204.447
16 País Vasco;Pareja con la que no convive;Total;Total;82.758
16 País Vasco;Pareja con la que no convive;Total;Tiene intención de tener hijos;22.910
16 País Vasco;Pareja con la que no convive;Total;No tiene intención de tener hijos;59.848
16 País Vasco;Pareja con la que no convive;Sin hijos;Total;64.326
16 País Vasco;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;18.225
16 País Vasco;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;46.102
16 País Vasco;Pareja con la que no convive;Con hijos;Total;18.432
16 País Vasco;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;4.685
16 País Vasco;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;13.746
17 Rioja, La;Total;Total;Total;76.739
17 Rioja, La;Total;Total;Tiene intención de tener hijos;16.110
17 Rioja, La;Total;Total;No tiene intención de tener hijos;60.629
17 Rioja, La;Total;Sin hijos;Total;32.186
17 Rioja, La;Total;Sin hijos;Tiene intención de tener hijos;8.739
17 Rioja, La;Total;Sin hijos;No tiene intención de tener hijos;23.446
17 Rioja, La;Total;Con hijos;Total;44.553
17 Rioja, La;Total;Con hijos;Tiene intención de tener hijos;7.371
17 Rioja, La;Total;Con hijos;No tiene intención de tener hijos;37.182
17 Rioja, La;Sin pareja;Total;Total;22.462
17 Rioja, La;Sin pareja;Total;Tiene intención de tener hijos;4.145
17 Rioja, La;Sin pareja;Total;No tiene intención de tener hijos;18.317
17 Rioja, La;Sin pareja;Sin hijos;Total;17.964
17 Rioja, La;Sin pareja;Sin hijos;Tiene intención de tener hijos;3.368
17 Rioja, La;Sin pareja;Sin hijos;No tiene intención de tener hijos;14.596
17 Rioja, La;Sin pareja;Con hijos;Total;4.498
17 Rioja, La;Sin pareja;Con hijos;Tiene intención de tener hijos;776
17 Rioja, La;Sin pareja;Con hijos;No tiene intención de tener hijos;3.721
17 Rioja, La;Pareja con la que convive;Total;Total;46.001
17 Rioja, La;Pareja con la que convive;Total;Tiene intención de tener hijos;9.267
17 Rioja, La;Pareja con la que convive;Total;No tiene intención de tener hijos;36.735
17 Rioja, La;Pareja con la que convive;Sin hijos;Total;7.630
17 Rioja, La;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;3.146
17 Rioja, La;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;4.484
17 Rioja, La;Pareja con la que convive;Con hijos;Total;38.371
17 Rioja, La;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;6.121
17 Rioja, La;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;32.251
17 Rioja, La;Pareja con la que no convive;Total;Total;8.276
17 Rioja, La;Pareja con la que no convive;Total;Tiene intención de tener hijos;2.699
17 Rioja, La;Pareja con la que no convive;Total;No tiene intención de tener hijos;5.577
17 Rioja, La;Pareja con la que no convive;Sin hijos;Total;6.592
17 Rioja, La;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;2.225
17 Rioja, La;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;4.367
17 Rioja, La;Pareja con la que no convive;Con hijos;Total;1.684
17 Rioja, La;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;474
17 Rioja, La;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;1.210
18 Ceuta;Total;Total;Total;21.832
18 Ceuta;Total;Total;Tiene intención de tener hijos;3.665
18 Ceuta;Total;Total;No tiene intención de tener hijos;18.167
18 Ceuta;Total;Sin hijos;Total;8.399
18 Ceuta;Total;Sin hijos;Tiene intención de tener hijos;1.932
18 Ceuta;Total;Sin hijos;No tiene intención de tener hijos;6.467
18 Ceuta;Total;Con hijos;Total;13.433
18 Ceuta;Total;Con hijos;Tiene intención de tener hijos;1.733
18 Ceuta;Total;Con hijos;No tiene intención de tener hijos;11.700
18 Ceuta;Sin pareja;Total;Total;6.351
18 Ceuta;Sin pareja;Total;Tiene intención de tener hijos;790
18 Ceuta;Sin pareja;Total;No tiene intención de tener hijos;5.560
18 Ceuta;Sin pareja;Sin hijos;Total;4.468
18 Ceuta;Sin pareja;Sin hijos;Tiene intención de tener hijos;670
18 Ceuta;Sin pareja;Sin hijos;No tiene intención de tener hijos;3.799
18 Ceuta;Sin pareja;Con hijos;Total;1.882
18 Ceuta;Sin pareja;Con hijos;Tiene intención de tener hijos;.
18 Ceuta;Sin pareja;Con hijos;No tiene intención de tener hijos;1.762
18 Ceuta;Pareja con la que convive;Total;Total;11.368
18 Ceuta;Pareja con la que convive;Total;Tiene intención de tener hijos;2.086
18 Ceuta;Pareja con la que convive;Total;No tiene intención de tener hijos;9.282
18 Ceuta;Pareja con la que convive;Sin hijos;Total;1.259
18 Ceuta;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;719
18 Ceuta;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;541
18 Ceuta;Pareja con la que convive;Con hijos;Total;10.109
18 Ceuta;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;1.368
18 Ceuta;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;8.742
18 Ceuta;Pareja con la que no convive;Total;Total;4.113
18 Ceuta;Pareja con la que no convive;Total;Tiene intención de tener hijos;789
18 Ceuta;Pareja con la que no convive;Total;No tiene intención de tener hijos;3.324
18 Ceuta;Pareja con la que no convive;Sin hijos;Total;2.672
18 Ceuta;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;544
18 Ceuta;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;2.128
18 Ceuta;Pareja con la que no convive;Con hijos;Total;1.441
18 Ceuta;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
18 Ceuta;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;1.196
19 Melilla;Total;Total;Total;21.543
19 Melilla;Total;Total;Tiene intención de tener hijos;4.464
19 Melilla;Total;Total;No tiene intención de tener hijos;17.079
19 Melilla;Total;Sin hijos;Total;7.591
19 Melilla;Total;Sin hijos;Tiene intención de tener hijos;2.579
19 Melilla;Total;Sin hijos;No tiene intención de tener hijos;5.013
19 Melilla;Total;Con hijos;Total;13.952
19 Melilla;Total;Con hijos;Tiene intención de tener hijos;1.885
19 Melilla;Total;Con hijos;No tiene intención de tener hijos;12.067
19 Melilla;Sin pareja;Total;Total;4.951
19 Melilla;Sin pareja;Total;Tiene intención de tener hijos;1.376
19 Melilla;Sin pareja;Total;No tiene intención de tener hijos;3.575
19 Melilla;Sin pareja;Sin hijos;Total;3.197
19 Melilla;Sin pareja;Sin hijos;Tiene intención de tener hijos;997
19 Melilla;Sin pareja;Sin hijos;No tiene intención de tener hijos;2.200
19 Melilla;Sin pareja;Con hijos;Total;1.754
19 Melilla;Sin pareja;Con hijos;Tiene intención de tener hijos;.
19 Melilla;Sin pareja;Con hijos;No tiene intención de tener hijos;1.375
19 Melilla;Pareja con la que convive;Total;Total;12.791
19 Melilla;Pareja con la que convive;Total;Tiene intención de tener hijos;2.003
19 Melilla;Pareja con la que convive;Total;No tiene intención de tener hijos;10.788
19 Melilla;Pareja con la que convive;Sin hijos;Total;1.635
19 Melilla;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;638
19 Melilla;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;998
19 Melilla;Pareja con la que convive;Con hijos;Total;11.156
19 Melilla;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;1.366
19 Melilla;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;9.790
19 Melilla;Pareja con la que no convive;Total;Total;3.801
19 Melilla;Pareja con la que no convive;Total;Tiene intención de tener hijos;1.084
19 Melilla;Pareja con la que no convive;Total;No tiene intención de tener hijos;2.716
19 Melilla;Pareja con la que no convive;Sin hijos;Total;2.759
19 Melilla;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;944
19 Melilla;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;1.815
19 Melilla;Pareja con la que no convive;Con hijos;Total;1.042
19 Melilla;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;.
19 Melilla;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;902
