Edifici,Estat,id,X_ETRS89,Any_Auditoria,Punt_Recarrega_Public,Bicing_(<100m),Data_Distintiu,Places_Public_Interior,Nom_Via,Longitud,Inflador_Public,Y_ETRS89,Codi_Barri,Latitud,Codi_Districte,Punt_Autoreparacio_Public,Places_Public_Exterior_<25m,Nom_Districte,Numero_Via,Nom_Barri,_id,Places_Exclusiu_Personal
Recursos Humans Avinyo,Edifici Amic de la Bici,28,431101.499,2017,No,Sí,Desembre 2017,2,Carrer d'Avinyó,2.176,No,4581444.28,2,41.3815,1,No,0,Ciutat Vella,7,el Gòtic,28,7
Espai Jove Garcilaso,Edifici en procés de millora,29,431972.028,2017,No,Sí,,1,Carrer de Garcilaso,2.1859,No,4585997.39,61,41.4226,9,No,8,Sant Andreu,103,la Sagrera,29,0
Edifici d'oficines Pallach,Edifici en procés de millora,30,432512.196,2017,No,Sí,,5,Carrer Segadors,2.1921,No,4587578.273,60,41.4369,9,No,8,Sant Andreu,2,Sant Andreu,30,0
Seu de Districte de Sant Andreu,Edifici en procés de millora,31,432388.303,2017,No,Sí,,0,Plaça d'Orfila,2.1907,No,4587464.876,60,41.4359,9,No,42,Sant Andreu,1,Sant Andreu,31,0
BIMSA,Edifici cancel·lat,32,432738.808,2018,No,Sí,Juliol 2022,0,Carrer de Bolívia,2.1952,No,4584160.711,71,41.4061,10,No,10,Sant Martí,105,Provençals del Poblenou,32,48
Seu del Districte de Les Corts,Edifici Amic de la Bici,33,427232.776,2018,No,Sí,Desembre 2018,0,Plaça de Comas,2.1296,No,4581936.412,19,41.3856,4,No,16,Les Corts,18,les Corts,33,7
Seu annexa del Districte de Ciutat Vella / OAC,Edifici en procés de millora,34,430477.641,2018,No,Sí,,0,Carrer de les Ramelleres,2.1685,No,4581731.197,1,41.3841,1,No,12,Ciutat Vella,17,el Raval,34,4
Espai Bombers,Edifici en procés de millora,35,429300.001,2019,No,Sí,,0,Carrer de Lleida,2.1545,No,4580603.937,11,41.3738,3,No,8,Sants - Montjuïc,30,el Poble Sec,35,0
Casa Orlandai,Edifici Amic de la Bici,36,426834.384,2019,No,No,Juliol 2021,8,Carrer de Jaume Piquet,2.1247,No,4583375.995,23,41.3985,5,No,10,Sarrià - Sant Gervasi,23,Sarrià,36,2
Arxiu Fotogràfic,Edifici Amic de la Bici,37,431592.573,2019,No,Sí,Març 2024,12,Plaça de Pons i Clerch,2.1818,No,4582025.767,4,41.3868,1,No,32,Ciutat Vella,2,"Sant Pere, Santa Caterina i la Ribera",37,0
Institut Municipal d'Hisenda,Edifici Amic de la Bici,38,433024.253,2019,Sí,Sí,Octubre 2020,10,Carrer de Pallars,2.1987,No,4583594.302,68,41.4011,10,No,0,Sant Martí,202,el Poblenou,38,213
Edifici InnoBa - Can Jaumandreu,Edifici cancel·lat,39,432472.334,2019,No,Sí,,0,Carrer del Perú,2.192,No,4584250.814,71,41.4069,10,No,10,Sant Martí,52,Provençals del Poblenou,39,0
Museu de Ciències Naturals,Edifici Amic de la Bici,40,434883.617,2020,No,Sí,Julilol 2021,0,Plaça Leonardo da Vinci,2.2208,No,4584666.322,71,41.4109,10,No,30,Sant Martí,4-5,Provençals del Poblenou,40,8
Passeig de Sant Joan 75,Edifici en procés de millora,41,430738.821,2020,No,Sí,,9,Pg. de Sant Joan,2.1714,No,4583237.188,7,41.3976,2,No,0,Eixample,75,la Dreta de l'Eixample,41,0
Ca l'Alier,Edifici Amic de la Bici,42,433465.485,2020,No,Sí,Desembre 2020,0,Carrer de Pere IV,2.2039,No,4584537.922,71,41.4096,10,No,28,Sant Martí,362,Provençals del Poblenou,42,30
El Graner,Edifici Amic de la Bici,43,427724.571,2020,No,Sí,Desembre 2020,4,Carrer de Jane Addams,2.1358,Sí,4579250.402,13,41.3615,3,No,56,Sants - Montjuïc,14,la Marina del Port,43,0
