Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Ambas nacionalidades;Segundo;2016;0,49
Total Nacional;Ambas nacionalidades;Segundo;2015;0,48
Total Nacional;Ambas nacionalidades;Segundo;2014;0,47
Total Nacional;Ambas nacionalidades;Segundo;2013;0,45
Total Nacional;Ambas nacionalidades;Segundo;2012;0,48
Total Nacional;Ambas nacionalidades;Segundo;2011;0,48
Total Nacional;Ambas nacionalidades;Segundo;2010;0,49
Total Nacional;Ambas nacionalidades;Segundo;2009;0,48
Total Nacional;Ambas nacionalidades;Segundo;2008;0,51
Total Nacional;Ambas nacionalidades;Segundo;2007;0,44
Total Nacional;Ambas nacionalidades;Segundo;2006;0,48
Total Nacional;Ambas nacionalidades;Segundo;2005;0,46
Total Nacional;Ambas nacionalidades;Segundo;2004;0,46
Total Nacional;Ambas nacionalidades;Segundo;2003;0,46
Total Nacional;Ambas nacionalidades;Segundo;2002;0,44
Total Nacional;Ambas nacionalidades;Segundo;2001;0,44
Total Nacional;Ambas nacionalidades;Segundo;2000;0,44
Total Nacional;Ambas nacionalidades;Segundo;1999;0,43
Total Nacional;Ambas nacionalidades;Segundo;1998;0,42
Total Nacional;Ambas nacionalidades;Segundo;1997;0,43
Total Nacional;Ambas nacionalidades;Segundo;1996;0,43
Total Nacional;Ambas nacionalidades;Segundo;1995;0,42
Total Nacional;Ambas nacionalidades;Segundo;1994;0,43
Total Nacional;Ambas nacionalidades;Segundo;1993;0,44
Total Nacional;Ambas nacionalidades;Segundo;1992;0,46
Total Nacional;Ambas nacionalidades;Segundo;1991;0,46
Total Nacional;Ambas nacionalidades;Segundo;1990;0,47
Total Nacional;Ambas nacionalidades;Segundo;1989;0,48
Total Nacional;Ambas nacionalidades;Segundo;1988;0,49
Total Nacional;Ambas nacionalidades;Segundo;1987;0,5
Total Nacional;Ambas nacionalidades;Segundo;1986;0,55
Total Nacional;Ambas nacionalidades;Segundo;1985;0,53
Total Nacional;Ambas nacionalidades;Segundo;1984;0,56
Total Nacional;Ambas nacionalidades;Segundo;1983;0,58
Total Nacional;Ambas nacionalidades;Segundo;1982;0,62
Total Nacional;Ambas nacionalidades;Segundo;1981;0,65
Total Nacional;Ambas nacionalidades;Segundo;1980;0,69
Total Nacional;Ambas nacionalidades;Segundo;1979;0,74
Total Nacional;Ambas nacionalidades;Segundo;1978;0,8
Total Nacional;Ambas nacionalidades;Segundo;1977;0,82
Total Nacional;Ambas nacionalidades;Segundo;1976;0,84
Total Nacional;Ambas nacionalidades;Segundo;1975;0,83
Total Nacional;Ambas nacionalidades;Tercero;2024;0,1
Total Nacional;Ambas nacionalidades;Tercero;2023;0,11
Total Nacional;Ambas nacionalidades;Tercero;2022;0,11
Total Nacional;Ambas nacionalidades;Tercero;2021;0,12
Total Nacional;Ambas nacionalidades;Tercero;2020;0,11
Total Nacional;Ambas nacionalidades;Tercero;2019;0,12
Total Nacional;Ambas nacionalidades;Tercero;2018;0,11
Total Nacional;Ambas nacionalidades;Tercero;2017;0,11
Total Nacional;Ambas nacionalidades;Tercero;2016;0,11
Total Nacional;Ambas nacionalidades;Tercero;2015;0,1
Total Nacional;Ambas nacionalidades;Tercero;2014;0,1
Total Nacional;Ambas nacionalidades;Tercero;2013;0,1
Total Nacional;Ambas nacionalidades;Tercero;2012;0,1
Total Nacional;Ambas nacionalidades;Tercero;2011;0,1
Total Nacional;Ambas nacionalidades;Tercero;2010;0,1
Total Nacional;Ambas nacionalidades;Tercero;2009;0,1
Total Nacional;Ambas nacionalidades;Tercero;2008;0,11
Total Nacional;Ambas nacionalidades;Tercero;2007;0,1
Total Nacional;Ambas nacionalidades;Tercero;2006;0,1
Total Nacional;Ambas nacionalidades;Tercero;2005;0,1
Total Nacional;Ambas nacionalidades;Tercero;2004;0,1
Total Nacional;Ambas nacionalidades;Tercero;2003;0,1
Total Nacional;Ambas nacionalidades;Tercero;2002;0,1
Total Nacional;Ambas nacionalidades;Tercero;2001;0,1
Total Nacional;Ambas nacionalidades;Tercero;2000;0,1
Total Nacional;Ambas nacionalidades;Tercero;1999;0,1
Total Nacional;Ambas nacionalidades;Tercero;1998;0,1
Total Nacional;Ambas nacionalidades;Tercero;1997;0,1
Total Nacional;Ambas nacionalidades;Tercero;1996;0,11
Total Nacional;Ambas nacionalidades;Tercero;1995;0,11
Total Nacional;Ambas nacionalidades;Tercero;1994;0,11
Total Nacional;Ambas nacionalidades;Tercero;1993;0,12
Total Nacional;Ambas nacionalidades;Tercero;1992;0,13
Total Nacional;Ambas nacionalidades;Tercero;1991;0,14
Total Nacional;Ambas nacionalidades;Tercero;1990;0,15
Total Nacional;Ambas nacionalidades;Tercero;1989;0,16
Total Nacional;Ambas nacionalidades;Tercero;1988;0,17
Total Nacional;Ambas nacionalidades;Tercero;1987;0,19
Total Nacional;Ambas nacionalidades;Tercero;1986;0,21
Total Nacional;Ambas nacionalidades;Tercero;1985;0,23
Total Nacional;Ambas nacionalidades;Tercero;1984;0,25
Total Nacional;Ambas nacionalidades;Tercero;1983;0,27
Total Nacional;Ambas nacionalidades;Tercero;1982;0,29
Total Nacional;Ambas nacionalidades;Tercero;1981;0,31
Total Nacional;Ambas nacionalidades;Tercero;1980;0,34
Total Nacional;Ambas nacionalidades;Tercero;1979;0,39
Total Nacional;Ambas nacionalidades;Tercero;1978;0,43
Total Nacional;Ambas nacionalidades;Tercero;1977;0,45
Total Nacional;Ambas nacionalidades;Tercero;1976;0,47
Total Nacional;Ambas nacionalidades;Tercero;1975;0,48
